genres,item_name,release_date,price,item_id,developer,year
['Action'],Return to Castle Wolfenstein,2001-11-20,4.99,9010,Gray Matter Studios,2001
['Action'],QUAKE Mission Pack 1: Scourge of Armagon,1997-02-28,2.99,9040,Ritual Entertainment,1997
['Action'],Spear of Destiny,1993-10-10,2.99,9000,id Software,1993
['Action'],BloodRayne,2003-09-09,9.99,3810,Terminal Reality,2003
['Action'],QUAKE Mission Pack 2: Dissolution of Eternity,2007-08-03,2.99,9030,Rogue Entertainment,2007
['Action'],QUAKE,2007-05-31,4.99,2310,id Software,2007
['Strategy'],Genesis Rising,2007-03-20,4.99,3230,Metamorf,2007
['Strategy'],"Warhammer® 40,000: Dawn of War® – Winter Assault",2006-01-01,12.99,9310,Relic Entertainment,2006
"['Action', 'RPG']",BioShock™,2007-08-21,19.99,7670,"2K Boston,2K Australia",2007
['Strategy'],"Warhammer® 40,000: Dawn of War® - Game of the Year Edition",2006-01-01,12.99,4570,Relic Entertainment,2006
['Strategy'],"Warhammer® 40,000: Dawn of War® - Dark Crusade",2006-10-09,12.99,4580,Relic Entertainment,2006
['Strategy'],Rome: Total War™ - Collection,2004-09-22,9.99,4760,The Creative Assembly,2004
['Strategy'],Rome: Total War™ - Alexander,2006-06-26,4.99,4770,The Creative Assembly,2006
['Casual'],Mystery Case Files: Madame Fate®,2007-12-14,6.99,50970,Big Fish Games,2007
['Action'],Grand Theft Auto,1998-06-30,4.99,12170,Rockstar North,1998
['Action'],Grand Theft Auto 2,1999-10-25,4.99,12180,Rockstar North,1999
['Action'],Manhunt,2004-04-20,9.99,12130,Rockstar North,2004
['Racing'],Midnight Club 2,2003-07-01,9.99,12160,Rockstar San Diego,2003
['Action'],Max Payne 2: The Fall of Max Payne,2003-10-14,9.99,12150,Remedy Entertainment,2003
"['Action', 'Adventure']",Tomb Raider: Legend,2006-04-07,6.99,7000,Crystal Dynamics,2006
['Action'],Max Payne,2001-07-25,9.99,12140,Remedy Entertainment,2001
['Strategy'],Command & Conquer: Red Alert 3,2008-10-28,19.99,17480,EA Los Angeles,2008
['Casual'],PuzzleQuest: Challenge of the Warlords,2007-10-10,9.99,12500,Infinite Interactive,2007
"['RPG', 'Casual', 'Adventure']",Culpa Innata,2007-10-23,9.99,12310,Momentum Digital Media Technologies,2007
['Strategy'],Prison Tycoon 3™: Lockdown,2007-08-01,9.99,12510,"Gamebryo,Virtual Playground",2007
"['Action', 'Adventure', 'Strategy']",Hunting Unlimited™ 2008,2007-09-01,9.99,12530,SCS Software,2007
['Racing'],18 Wheels of Steel: American Long Haul,2007-12-03,9.99,12520,SCS Software,2007
['Action'],Conflict: Denied Ops,2008-02-08,5.99,8100,Pivotal Games,2008
['Action'],ARMA: Combat Operations,2007-05-08,7.99,2780,Bohemia Interactive,2007
['Simulation'],Tycoon City: New York,2006-02-21,9.99,9730,,2006
['Action'],Desperados 2: Cooper's Revenge,2006-05-02,9.99,9710,Spellbound,2006
"['Action', 'Adventure']",Death to Spies,2007-10-16,4.99,9800,Haggard Games,2007
['Action'],Act of War: High Treason,2006-05-30,2.99,9760,Eugen Systems,2006
"['Simulation', 'Strategy']",RollerCoaster Tycoon® 3: Platinum,2006-10-26,19.99,2700,"Frontier,Aspyr (Mac)",2006
['Action'],Act of War: Direct Action,2005-03-14,2.99,2710,Eugen Systems,2005
['Action'],Unreal 2: The Awakening,2003-02-03,14.99,13200,"Epic Games, Inc.",2003
['Action'],Unreal Gold,1998-04-30,9.99,13250,"Epic Games, Inc.",1998
"['Casual', 'Indie']",Ninja Reflex: Steamworks Edition,2008-03-21,4.99,13000,Sanzaru Games,2008
['Action'],Tom Clancy's Splinter Cell®,2003-02-18,9.99,13560,Ubisoft,2003
['Action'],Far Cry®,2004-03-23,9.99,13520,Crytek Studios,2004
['Action'],Unreal Tournament: Game of the Year Edition,2000-10-25,9.99,13240,"Epic Games, Inc.",2000
['Action'],Tom Clancy's Rainbow Six® Vegas,2006-12-12,9.99,13540,Ubisoft Montreal,2006
['Simulation'],Silent Hunter® III,2005-03-15,9.99,15210,Ubisoft,2005
"['Casual', 'Simulation']",Virtual Villagers - The Secret City,2008-05-28,9.99,16180,Last Day of Work,2008
['Casual'],Mystery P.I.™ - The Vegas Heist,2008-06-04,4.99,3520,SpinTop Games,2008
['Casual'],Luxor,2008-06-10,9.99,15970,MumboJumbo,2008
['Casual'],Reaxxion,2008-06-10,9.99,15950,MumboJumbo,2008
['Casual'],Little Farm,2008-06-10,9.99,15960,MumboJumbo,2008
['Casual'],7 Wonders II,2008-06-10,9.99,15900,MumboJumbo,2008
['Casual'],Luxor Amun Rising,2005-12-08,9.99,15910,MumboJumbo,2005
['Casual'],Luxor 3,2007-11-13,9.99,15930,MumboJumbo,2007
['Simulation'],Petz® Horsez® 2,2007-11-13,9.99,15160,Ubisoft,2007
['Casual'],Luxor 2,2005-12-08,9.99,15920,MumboJumbo,2005
"['Action', 'Adventure']",Rayman Raving Rabbids™,2007-03-27,9.99,15080,"Ubisoft Bulgaria,Ubisoft Montpellier",2007
['Simulation'],Silent Hunter®: Wolves of the Pacific,2007-03-20,9.99,15200,Ubisoft Romania,2007
['Simulation'],IL-2 Sturmovik: 1946,2006-12-15,9.99,15320,1C: Maddox Games,2006
['Simulation'],Silent Hunter®: Wolves of the Pacific U-Boat Missions,2008-03-24,9.99,15240,Ubisoft Romania,2008
['Adventure'],Bone: Out From Boneville,2005-09-15,9.99,8310,Telltale Games,2005
['Racing'],Midnight Outlaw: 6 Hours to SunUp,2005-07-02,9.99,12600,"Merscom,Babylon",2005
['Adventure'],Bone: The Great Cow Race,2006-04-12,9.99,8320,Telltale Games,2006
['Racing'],Sprint Cars Road to Knoxville,2008-07-29,9.99,12590,BigAnt Studios,2008
['Simulation'],Ride! Carnival Tycoon,2007-07-02,9.99,12560,Gabriel Entertainment,2007
['Casual'],Mahjongg Investigations: Under Suspicion,2007-08-08,9.99,12540,Zemnott,2007
['Adventure'],Dracula Origin,2008-05-20,9.99,11050,Frogwares,2008
['Sports'],Beijing 2008™ - The Official Video Game of the Olympic Games,2008-07-08,4.99,10520,Eurocom,2008
"['Adventure', 'RPG']",Sherlock Holmes - Nemesis,2008-04-14,9.99,11040,Frogwares,2008
"['Adventure', 'Indie']",Eternity's Child,2008-07-31,4.99,19500,"Luc Bernard,SilverSphereStudios",2008
"['Simulation', 'Strategy']",Pacific Storm Allies,2007-05-25,7.99,11260,Lesta Studio,2007
"['Action', 'Indie']",Tank Universal,2008-08-21,4.99,19200,Dialogue Design,2008
['Racing'],FlatOut: Ultimate Carnage,2008-08-19,19.99,12360,Bugbear Entertainment,2008
['Adventure'],Oddworld: Abe's Exoddus®,1998-11-17,2.99,15710,Oddworld Inhabitants,1998
['Adventure'],Oddworld: Abe's Oddysee®,1997-12-12,2.99,15700,Oddworld Inhabitants,1997
['Racing'],GTR Evolution Expansion Pack for RACE 07,2008-09-01,7.99,8660,SimBin,2008
['Strategy'],X-COM: Enforcer,2001-04-19,4.99,7770,"MicroProse Software, Inc",2001
['Strategy'],X-COM: Apocalypse,1997-07-15,4.99,7660,"MicroProse Software, Inc",1997
['Strategy'],X-COM: UFO Defense,1993-12-31,4.99,7760,"MicroProse Software, Inc",1993
"['Action', 'RPG']",S.T.A.L.K.E.R.: Clear Sky,2008-09-15,9.99,20510,GSC Game World,2008
['Action'],Crysis Warhead®,2008-09-17,19.99,17330,Crytek,2008
['Action'],Crysis,2007-11-13,19.99,17300,Crytek,2007
['Strategy'],X-COM: Interceptor,1998-06-15,4.99,7730,"MicroProse Software, Inc",1998
"['Action', 'RPG']",The Witcher: Enhanced Edition Director's Cut,2008-09-16,9.99,20900,CD PROJEKT RED,2008
['Indie'],Multiwinia,2008-09-19,9.99,1530,Introversion Software,2008
['Racing'],STCC - The Game 1 - Expansion Pack for RACE 07,2008-10-22,2.99,8690,SimBin,2008
"['Strategy', 'Simulation']",Children of the Nile: Alexandria,2008-08-28,2.49,17120,"Tilted Mill Entertainment, Inc.",2008
['Strategy'],Sid Meier's Civilization IV: Colonization,2008-09-23,19.99,16810,Firaxis Games,2008
['Action'],Tom Clancy's Rainbow Six® 3 Gold,2003-03-18,9.99,19830,"Red Storm Entertainment,Ubisoft Montreal",2003
"['Action', 'Adventure']",LEGO Batman,2008-09-29,19.99,21000,Traveller's Tales,2008
"['Simulation', 'Strategy']",City Life 2008,2008-07-18,9.99,4460,Monte Cristo,2008
"['RPG', 'Strategy']",Hinterland,2008-09-30,9.99,17140,"Tilted Mill Entertainment, Inc.",2008
['Action'],Brothers in Arms: Hell's Highway™,2008-10-08,9.99,15390,Gearbox Software,2008
"['Indie', 'Casual']",Gravitron 2,2008-08-31,4.99,21300,Dark Castle Software,2008
['Racing'],Xpand Rally Xtreme,2006-12-01,4.99,3050,Techland,2006
['Strategy'],Heroes of Might & Magic V: Hammers of Fate,2006-11-14,9.99,15380,Nival,2006
['Action'],Brothers in Arms: Earned in Blood™,2005-10-04,9.99,19800,Gearbox Software,2005
['Strategy'],Heroes of Might & Magic V: Tribes of the East,2007-10-16,9.99,15370,Nival,2007
['Strategy'],The Settlers®: Rise Of An Empire Gold Edition,2008-04-18,19.99,19930,Blue Byte,2008
['Casual'],Brain Spa,2007-09-25,9.99,15350,Ubisoft,2007
['Action'],The Sum of All Fears,2002-05-31,9.99,19810,Red Storm Entertainment,2002
['Casual'],Peggle™ Nights,2008-10-15,4.99,3540,"PopCap Games, Inc.",2008
['Indie'],World of Goo,2008-10-13,9.99,22000,2D BOY,2008
"['Action', 'Simulation', 'Strategy']",X3: Terran Conflict,2008-10-16,15.99,2820,Egosoft,2008
['Action'],Mare Nostrum,2008-10-17,4.99,1230,Sandstorm Productions,2008
"['Casual', 'Indie']",Spectraball,2008-10-20,4.99,18300,Shorebound Studios,2008
"['Indie', 'Casual', 'Sports']",Galactic Bowling,2008-10-21,19.99,20200,Perpetual FX Creative,2008
"['Action', 'Adventure']",Bully: Scholarship Edition,2008-10-21,14.99,12200,Rockstar New England,2008
['Action'],Far Cry® 2: Fortune's Edition,2008-10-22,9.99,19900,Ubisoft Montreal,2008
"['Action', 'Indie', 'Strategy']",Space Trader: Merchant Marine,2008-10-23,4.99,11240,Meridian4,2008
['Simulation'],PRR Wagon Pack 01,2009-01-01,4.99,256522,RailSimulator.com,2009
['Simulation'],"Class 421 London South East ""Jaffa Cake""",2009-01-01,4.99,275144,RailSimulator.com,2009
['Simulation'],ATSF Wagon Pack 01,2009-01-01,4.99,256521,RailSimulator.com,2009
['Simulation'],GP20 Union Pacific Add-on Livery,2009-01-01,4.99,222569,Reppo,2009
['Simulation'],UK Van Wagon Pack,2009-01-01,4.99,256535,RailSimulator.com,2009
['Simulation'],CSX SD70MAC Add-on Livery,2009-01-01,4.99,256611,Dovetail Games,2009
['Simulation'],CSX ES44AC Add-on Livery,2009-01-01,4.99,256576,Dovetail Games,2009
['Action'],Saints Row 2,2009-01-28,9.99,9480,Volition,2009
['Action'],Dead Space,2008-10-20,19.99,17470,EA Redwood Shores,2008
['RPG'],Rise of the Argonauts,2008-12-16,9.99,12770,Liquid Entertainment,2008
"['Action', 'Adventure']",Mirror's Edge™,2009-01-13,19.99,17410,DICE,2009
"['Indie', 'Strategy']",Defense Grid: The Awakening,2008-12-08,9.99,18500,Hidden Path Entertainment,2008
['Action'],F.E.A.R. 2: Project Origin,2009-02-12,14.99,16450,Monolith,2009
"['Strategy', 'Indie']",Harvest: Massive Encounter,2008-03-05,7.99,15400,Oxeye Game Studio,2008
"['Indie', 'Strategy']",Mayhem Intergalactic,2007-07-04,9.99,18600,Inventive Dingo,2007
"['Action', 'Indie']",Larva Mortus,2009-03-19,4.99,11340,Meridian4,2009
['Strategy'],Knights of Honor,2005-05-10,9.99,25830,Black Sea Studios Ltd,2005
"['Action', 'Adventure', 'Strategy']",Ceville,2009-02-27,5.99,23460,Realmforge Studios,2009
['Strategy'],Empire: Total War™ - Special Forces Units & Bonus Content,2009-03-04,2.99,10600,"The Creative Assembly,Feral Interactive (Mac),Feral Interactive (Linux)",2009
['Action'],Watchmen: The End is Nigh,2009-03-04,4.99,21010,Deadline Games,2009
"['Action', 'Adventure', 'Indie']",Penumbra Overture,2007-03-30,9.99,22180,Frictional Games,2007
['Action'],Unreal Tournament 3 Black,2007-11-19,19.99,13210,"Epic Games, Inc.",2007
['RPG'],Drakensang,2009-02-27,9.99,12640,Radon Labs,2009
"['Casual', 'Strategy']",Age of Booty™,2009-03-09,4.99,21600,Certain Affinity™,2009
"['Indie', 'Simulation']",The Graveyard,2008-03-21,4.99,27020,Tale of Tales,2008
['Racing'],Burnout Paradise: The Ultimate Box,2009-02-03,19.99,24740,Criterion Games,2009
['Action'],Zombie Master,2009-03-11,4.99,90047,Zombie Master Team,2009
"['Action', 'Indie']",The Maw,2009-03-09,9.99,26000,Twisted Pixel Games,2009
"['Action', 'Indie']",The Maw: River Redirect,2009-03-16,1.25,26006,Twisted Pixel Games,2009
"['Action', 'Indie']",The Maw: Brute Force,2009-03-16,1.25,26005,Twisted Pixel Games,2009
"['Casual', 'Indie']",Obulis,2009-03-19,4.99,11330,IonFX,2009
['Indie'],Space Giraffe,2009-03-19,9.99,27800,Llamasoft LTD,2009
"['Simulation', 'Strategy']",Codename: Panzers - Cold War,2009-03-10,14.99,9850,"InnoGlow,Stormregion,THQ Nordic",2009
['Casual'],Escape Rosecliff Island,2009-04-15,4.99,3600,SpinTop Games,2009
"['RPG', 'Massively Multiplayer']",Guild Wars Nightfall,2006-10-27,19.99,29580,ArenaNet®,2006
"['RPG', 'Massively Multiplayer']",Guild Wars,2005-04-28,19.99,29540,ArenaNet®,2005
"['RPG', 'Massively Multiplayer']",Guild Wars Factions,2006-04-28,19.99,29560,ArenaNet®,2006
"['Massively Multiplayer', 'RPG']",Guild Wars Trilogy,2008-09-25,29.99,29570,ArenaNet®,2008
['Casual'],Puzzle Kingdoms,2009-04-16,14.99,23700,Infinite Interactive,2009
['Casual'],Samantha Swift and the Golden Touch,2009-04-29,9.99,16060,MumboJumbo,2009
['RPG'],Two Worlds Epic Edition,2009-04-30,9.99,1930,Reality Pump Studios,2009
['Strategy'],Helldorado,2009-04-30,9.99,18470,Spellbound,2009
"['Action', 'Adventure', 'RPG']",X-Blades,2009-02-10,9.99,7510,Gaijin Entertainment,2009
"['Action', 'Indie']",Zeno Clash,2009-04-21,9.99,22200,ACE Team,2009
['Indie'],The Maw: Speeder Lane,2009-04-29,1.25,26007,Twisted Pixel Games,2009
"['RPG', 'Strategy']",King's Bounty: The Legend,2008-09-23,6.99,25900,1C Company,2008
"['Casual', 'Simulation']",Virtual Families,2009-05-06,9.99,16200,Last Day of Work,2009
['Racing'],Death Track®: Resurrection,2009-05-06,2.99,7840,Sky Fallen,2009
"['RPG', 'Strategy']",Freedom Force vs. the Third Reich,2005-03-08,4.99,8890,Irrational Games,2005
"['RPG', 'Strategy']",Freedom Force,2002-03-26,4.99,8880,Irrational Games,2002
"['Indie', 'Simulation', 'Strategy']",Light of Altair,2009-06-04,14.99,34500,SaintXi,2009
"['Action', 'Simulation']",Darkest Hour: Europe '44-'45,2009-06-09,4.99,1280,Darklight Games,2009
"['Action', 'Adventure']",Prototype™,2009-06-10,19.99,10150,Radical Entertainment,2009
"['Adventure', 'Indie']",Blueberry Garden,Jun 2009,4.99,29160,Erik Svedäng,Jun 2009
['Strategy'],Port Royale 2,2004-04-30,4.99,12470,Ascaron Entertainment ltd.,2004
['RPG'],The Elder Scrolls IV: Oblivion® Game of the Year Edition,2007-09-11,14.99,22330,Bethesda Game Studios,2007
['RPG'],The Elder Scrolls III: Morrowind® Game of the Year Edition,2002-04-29,14.99,22320,Bethesda Game Studios,2002
['Adventure'],Ankh 2: Heart of Osiris,2007-05-18,4.99,12440,Deck 13,2007
['Simulation'],Armored Fist 3,1999-09-01,9.99,32710,NovaLogic,1999
['Simulation'],MiG-29 Fulcrum,1998-09-07,9.99,32740,NovaLogic,1998
['Strategy'],BC Kings,2008-09-15,4.99,12460,Mascot Entertainment,2008
['Action'],Call of Juarez®: Bound in Blood,2009-06-30,9.99,21980,Techland,2009
['Adventure'],Nancy Drew®: Legend of the Crystal Skull,2007-10-01,6.99,31860,HeR Interactive,2007
['Adventure'],Nancy Drew®: The Creature of Kapu Cave,2006-10-01,6.99,31900,HeR Interactive,2006
['Adventure'],Nancy Drew®: The Phantom of Venice,2008-07-01,6.99,31920,HeR Interactive,2008
['Adventure'],Nancy Drew®: The White Wolf of Icicle Creek,2007-07-01,6.99,31930,HeR Interactive,2007
"['Casual', 'Indie']",BRAINPIPE: A Plunge to Unhumanity,2008-12-24,4.99,35800,Digital Eel,2008
"['Simulation', 'Sports']",Hunting Unlimited 2010,2009-07-07,9.99,12690,,2009
['Adventure'],Tales of Monkey Island Complete Pack,2009-07-07,19.99,31170,Telltale Games,2009
['Action'],Street Fighter® IV,2009-07-07,19.99,21660,Capcom,2009
"['Action', 'Adventure', 'Racing', 'Simulation', 'Strategy']",Thrillville®: Off the Rails™,2007-10-09,9.99,6080,Frontier,2007
['Adventure'],Indiana Jones® and the Fate of Atlantis™,1992-06-01,5.99,6010,LucasArts,1992
['Action'],Armed and Dangerous®,2003-12-02,5.99,6090,Planet Moon Studios,2003
['Action'],"Star Wars: Battlefront 2 (Classic, 2005)",2005-11-01,9.99,6060,Pandemic Studios,2005
['Adventure'],Indiana Jones® and the Last Crusade™,1989-07-01,5.99,32310,LucasArts,1989
"['Action', 'Adventure']",LEGO® Indiana Jones™: The Original Adventures,2008-06-03,19.99,32330,Traveller's Tales,2008
['Adventure'],The Secret of Monkey Island: Special Edition,2009-07-15,9.99,32360,LucasArts,2009
['Strategy'],Warfare,2008-11-20,12.99,35300,GFI Russia,2008
"['Action', 'Racing']",Clutch,2009-06-02,9.99,35310,Targem Games,2009
['Adventure'],Nancy Drew®: Ransom of the Seven Ships,2009-07-21,6.99,31980,HeR Interactive,2009
['Adventure'],Nancy Drew®: Ransom of the Seven Ships Demo,2009-07-21,4.99,31990,Her Interactive,2009
['Sports'],3D Ultra™ Minigolf Adventures,2006-12-20,9.99,10140,Wanako Games,2006
['Adventure'],King's Quest™ Collection,2006-09-01,19.99,10100,Sierra,2006
['Action'],TimeShift™,2007-10-30,19.99,10130,Saber Interactive,2007
['Adventure'],Space Quest™ Collection,2006-09-01,19.99,10110,Sierra,2006
['Action'],Killing Floor Outbreak Character Pack,2009-07-24,7.99,1256,Tripwire Interactive,2009
"['Action', 'Casual']",Aces of the Galaxy™,2008-06-04,9.99,10120,Artech Studios,2008
"['Simulation', 'Strategy']",Tropico Reloaded,2009-07-24,6.99,33520,"PopTop Software,BreakAway Games,Frog City Software",2009
['Casual'],Mystery P.I. - Lost in Los Angeles,2009-07-27,4.99,3610,SpinTop Games,2009
['Action'],Bionic Commando: Rearmed,2008-08-14,9.99,21680,Capcom,2008
"['Action', 'Adventure']",Bionic Commando,2009-07-28,9.99,21670,Capcom,2009
['Action'],Watchmen: The End is Nigh Part 2,2009-07-29,4.99,21030,Deadline Games,2009
"['Action', 'Indie']",Foreign Legion: Buckets of Blood,2009-08-04,4.99,36000,Sakari Indie,2009
"['Adventure', 'RPG']",STAR WARS™ - Knights of the Old Republic™,2003-11-19,9.99,32370,"BioWare,Aspyr (Mac)",2003
"['Indie', 'Casual']",Osmos,2009-08-18,9.99,29180,Hemisphere Games,2009
['RPG'],Fallout 2: A Post Nuclear Role Playing Game,1998-12-01,9.99,38410,Black Isle Studios,1998
