,user_id,posted,item_id,recommend,year_posted,sentiment_analysis
86,76561198083226897,22-12-2015,105600,True,2015,1
87,76561198075277292,23-06-2015,730,True,2015,0
88,76561198075277292,11-09-2015,570,True,2015,2
89,76561198028895010,22-04-2013,231180,True,2013,2
90,76561198028895010,27-05-2012,620,True,2012,2
94,diego9031,05-12-2015,223710,True,2015,1
95,diego9031,04-10-2015,299360,True,2015,1
96,diego9031,03-10-2015,322330,True,2015,1
97,diego9031,13-08-2015,1250,True,2015,1
98,diego9031,22-02-2015,12100,True,2015,1
99,diego9031,14-01-2015,204360,True,2015,2
100,diego9031,14-12-2013,440,True,2013,1
101,diego9031,01-12-2013,224260,True,2013,2
102,jarrodtrim,11-02-2012,440,True,2012,2
104,76561198067936203,12-03-2015,440,True,2015,2
105,76561198079770573,14-10-2015,1840,True,2015,1
106,76561198087586464,27-10-2013,440,True,2013,2
107,Derp-e,27-11-2015,440,True,2015,2
108,76561198070194565,09-10-2014,233250,True,2014,1
114,76561198070194565,09-11-2015,248570,True,2015,1
115,Rivtex,23-12-2015,298630,True,2015,1
116,UTNerd24,06-05-2014,244210,True,2014,2
117,UTNerd24,02-12-2015,440,True,2015,1
118,UTNerd24,06-06-2015,376920,True,2015,2
119,UTNerd24,29-09-2015,257750,True,2015,2
120,UTNerd24,08-09-2014,221910,True,2014,1
121,UTNerd24,15-12-2013,2280,True,2013,0
122,sandwiches1,23-11-2015,417860,False,2015,1
123,76561198138053270,01-06-2014,218620,True,2014,2
124,lucaswerg,11-07-2014,218620,True,2014,2
125,lucaswerg,14-11-2014,222880,True,2014,1
126,Life-Of-Blu,13-11-2015,377160,True,2015,2
127,Life-Of-Blu,15-12-2013,211820,True,2013,2
128,CaptianAutismo,17-12-2015,252490,True,2015,0
129,76561198075895633,26-10-2014,440,True,2014,2
131,kube134,28-06-2014,251990,True,2014,2
132,iamthekingofbrowntown,12-09-2015,344760,False,2015,0
133,iamthekingofbrowntown,13-09-2015,252950,True,2015,1
135,iamthekingofbrowntown,14-10-2015,399730,True,2015,2
137,yookobz,19-11-2015,377160,True,2015,2
138,yookobz,25-06-2013,219150,True,2013,2
139,Posiblydead,11-04-2014,277430,True,2014,2
140,Posiblydead,22-02-2014,239820,True,2014,2
141,Posiblydead,24-09-2012,17410,True,2012,2
142,Mossy_Gaming,26-09-2015,440,True,2015,2
143,76561198102421718,12-06-2015,270550,True,2015,2
144,76561198102421718,03-08-2015,274940,True,2015,2
145,76561198102421718,26-06-2015,333930,True,2015,0
146,76561198087407319,15-01-2014,440,True,2014,1
147,76561198056741844,14-10-2014,730,True,2014,1
149,sad-commie,09-07-2014,212070,True,2014,0
150,sad-commie,13-03-2014,264140,True,2014,1
151,76561198030567998,11-11-2014,332800,True,2014,1
152,76561198030567998,21-07-2015,319630,True,2015,2
153,76561198030567998,05-07-2015,6020,True,2015,0
154,76561198030567998,12-03-2015,55230,True,2015,2
155,76561198030567998,23-02-2014,32430,True,2014,2
158,Coldaniel,22-03-2015,35450,True,2015,2
159,Coldaniel,21-08-2014,440,True,2014,2
160,Coldaniel,13-03-2015,236390,True,2015,2
161,therealmorty,20-03-2015,351570,True,2015,2
162,therealmorty,07-03-2015,212680,True,2015,0
163,Berserklejerker,10-10-2015,391540,True,2015,2
164,76561198061730629,06-07-2014,550,True,2014,0
165,YoHuNz,19-06-2014,440,True,2014,1
166,YoHuNz,19-02-2014,570,True,2014,1
167,possessioniskey,11-04-2015,72850,True,2015,2
168,possessioniskey,24-12-2015,440,True,2015,2
169,possessioniskey,17-05-2014,113400,True,2014,2
170,76561198093112529,09-08-2014,440,True,2014,2
171,76561198060447950,26-09-2015,200510,True,2015,2
172,whiteofwolfing,22-05-2015,730,True,2015,2
173,sergarino,22-08-2015,383080,True,2015,2
175,76561198081962345,05-04-2014,1250,True,2014,1
177,Nozomikat,30-12-2015,265610,True,2015,2
178,Nozomikat,01-08-2014,264200,True,2014,1
179,Nozomikat,26-12-2015,417860,True,2015,2
180,Nozomikat,14-04-2015,333600,True,2015,2
181,Nozomikat,30-12-2014,213670,True,2014,2
182,Nozomikat,04-12-2013,91310,True,2013,2
184,Nozomikat,04-12-2013,210770,True,2013,2
185,xfluttersx,10-11-2015,351640,True,2015,2
187,xfluttersx,27-08-2012,105600,True,2012,2
188,xfluttersx,05-02-2014,440,True,2014,2
189,xfluttersx,27-01-2013,47870,True,2013,2
190,xfluttersx,25-08-2015,383080,True,2015,2
191,xfluttersx,27-08-2012,410,True,2012,2
192,76561198056290589,16-12-2014,730,True,2014,2
193,ii_voltage_ii,29-06-2014,253710,False,2014,2
194,ii_voltage_ii,11-04-2015,339280,True,2015,2
195,ii_voltage_ii,08-03-2014,271290,True,2014,2
196,ii_voltage_ii,16-11-2013,203290,True,2013,2
197,76561198097762318,11-11-2015,440,True,2015,2
198,76561198097762318,26-12-2014,233150,True,2014,1
199,Hirukaz,17-01-2013,550,True,2013,0
200,StelerForYou,17-07-2015,730,True,2015,2
201,StelerForYou,29-12-2013,211820,True,2013,2
202,76561198183396245,06-05-2015,440,True,2015,2
204,Xx-Woods,26-01-2015,224260,True,2015,2
205,Xx-Woods,16-11-2014,317360,True,2014,2
206,Xx-Woods,17-08-2014,295550,True,2014,2
207,Xx-Woods,21-07-2014,250180,True,2014,1
208,Xx-Woods,19-07-2014,227940,True,2014,0
209,Xx-Woods,08-02-2014,17520,True,2014,1
210,Xx-Woods,07-01-2014,113420,True,2014,2
211,kevinator23,06-07-2015,320760,True,2015,0
212,kevinator23,06-09-2015,8850,True,2015,2
213,kevinator23,24-04-2014,233720,True,2014,2
214,kevinator23,06-07-2015,218620,True,2015,2
215,kevinator23,27-01-2015,730,True,2015,2
216,kevinator23,25-01-2015,219740,True,2015,2
217,kevinator23,24-05-2014,220240,True,2014,2
218,kevinator23,20-10-2012,440,True,2012,2
219,76561198090715178,28-03-2014,4000,True,2014,2
220,76561198090715178,09-07-2014,304930,True,2014,2
221,CatsWhale,23-02-2015,333950,True,2015,2
222,CatsWhale,29-08-2015,388520,True,2015,2
223,CatsWhale,23-11-2014,107410,True,2014,2
224,CatsWhale,09-09-2014,206210,True,2014,2
225,76561198073784601,26-03-2015,221100,True,2015,2
227,mimimomoma,23-11-2015,730,True,2015,2
228,76561198102410011,14-09-2015,440,True,2015,1
229,de_Butl3r,13-10-2014,209870,True,2014,2
232,Bluezap1,27-12-2015,440,True,2015,2
233,Bluezap1,13-05-2015,730,True,2015,2
234,Bluezap1,27-12-2015,362890,True,2015,2
235,Bluezap1,21-12-2015,413850,True,2015,1
236,76561198074200011,15-11-2015,730,True,2015,2
238,L1J1N,13-06-2014,570,True,2014,2
239,Lord_Exploit,13-03-2015,311560,True,2015,2
240,Lord_Exploit,07-01-2015,322170,True,2015,2
241,AVATAR715,02-01-2014,48240,False,2014,0
242,AVATAR715,18-11-2015,440,True,2015,2
243,AVATAR715,01-06-2014,248570,True,2014,0
244,AVATAR715,18-03-2014,264140,True,2014,2
245,AVATAR715,16-02-2014,4000,True,2014,2
246,AVATAR715,25-02-2015,266430,True,2015,2
247,AVATAR715,15-08-2015,316010,True,2015,2
248,AVATAR715,25-12-2014,249570,True,2014,2
250,76561198078752187,16-12-2014,240,True,2014,1
251,A-Very-Sly-Person,14-08-2015,304930,True,2015,1
252,A-Very-Sly-Person,11-11-2014,440,True,2014,2
256,76561197994493402,01-03-2015,264200,True,2015,2
257,76561197994493402,27-11-2014,440,True,2014,2
259,76561198065656175,20-11-2015,383080,True,2015,2
261,97396295,23-08-2014,301520,True,2014,2
262,97396295,17-06-2014,243870,True,2014,2
263,97396295,10-07-2014,218230,False,2014,0
265,76561198126640317,15-06-2015,251570,True,2015,2
266,76561198126640317,14-02-2015,221100,True,2015,2
267,76561198126640317,12-09-2015,316010,True,2015,2
268,76561198126640317,12-09-2015,218230,True,2015,0
269,76561198126640317,01-07-2015,333930,True,2015,2
270,76561198126640317,01-07-2015,222880,True,2015,2
271,76561198126640317,15-06-2015,730,True,2015,2
272,DemonicWolvz,15-01-2015,55230,True,2015,2
273,DemonicWolvz,29-04-2015,232090,True,2015,2
274,DemonicWolvz,29-03-2015,4000,True,2015,1
275,DemonicWolvz,23-11-2014,206420,True,2014,2
276,DemonicWolvz,12-02-2014,224260,True,2014,2
277,DemonicWolvz,26-12-2013,550,True,2013,2
278,DieMadchenschanderin,29-08-2015,346110,True,2015,2
279,DieMadchenschanderin,05-10-2015,380770,False,2015,0
281,DieMadchenschanderin,14-06-2013,227680,False,2013,2
283,GGargula,23-11-2015,233250,True,2015,1
285,getf0kinn0sc0pedm9,31-05-2015,730,True,2015,0
287,76561198141443390,03-05-2015,730,True,2015,2
289,whodafuqisthisguilao,06-08-2015,730,True,2015,2
290,Magjiikal,05-10-2015,370480,True,2015,2
291,Magjiikal,17-12-2015,313740,True,2015,2
292,ohnospaghet,17-12-2014,1840,True,2014,2
293,ohnospaghet,30-09-2014,440,True,2014,0
294,ohnospaghet,10-03-2015,266210,True,2015,2
297,ohnospaghet,10-03-2015,264200,True,2015,2
299,2768820078,01-09-2015,287700,True,2015,1
302,2768820078,18-11-2015,377160,True,2015,1
303,2768820078,08-08-2015,221380,True,2015,1
304,2768820078,15-07-2015,333950,True,2015,1
305,2768820078,12-06-2015,222420,False,2015,1
306,2768820078,19-05-2015,271590,True,2015,1
307,2768820078,11-05-2015,298110,True,2015,1
308,2768820078,02-05-2015,222440,True,2015,1
312,2d4nk4m3,20-08-2014,317470,False,2014,2
313,2d4nk4m3,18-03-2014,47410,True,2014,2
316,76561198095921854,01-05-2015,245620,True,2015,2
317,EizanAratoFujimaki,28-10-2015,70,True,2015,2
319,TeCool,15-12-2014,274980,True,2014,2
320,TeCool,06-12-2014,202090,True,2014,2
321,TeCool,11-04-2015,339280,True,2015,2
322,TeCool,31-01-2015,314130,False,2015,0
323,2xDelorean,13-09-2015,570,True,2015,2
324,2xDelorean,26-07-2013,212680,True,2013,2
325,2xDelorean,18-05-2013,200210,True,2013,2
326,2xDelorean,30-10-2011,440,True,2011,2
332,washington_,13-12-2015,417860,True,2015,0
333,jewxxl,18-05-2015,251970,True,2015,2
338,76561198088944293,13-12-2014,304930,True,2014,1
339,76561198092540221,31-07-2015,400,True,2015,2
340,76561198092540221,29-06-2015,620,True,2015,2
341,76561198092540221,29-06-2015,238460,True,2015,2
342,76561198092540221,12-02-2015,6060,True,2015,2
343,76561198092540221,29-03-2014,440,True,2014,2
344,76561198051258119,04-02-2015,730,True,2015,2
345,nubquake123,21-04-2014,265610,True,2014,2
346,Pyromanic,15-02-2013,31280,True,2013,2
347,Pyromanic,15-02-2013,4000,True,2013,2
348,Pyromanic,15-02-2013,240,True,2013,2
350,CobRazor,01-08-2015,252490,True,2015,1
351,relesprit,27-12-2013,8930,True,2013,2
352,WitchHunter4542,16-07-2014,304930,True,2014,2
353,WitchHunter4542,13-01-2015,237310,True,2015,0
354,WitchHunter4542,11-01-2014,224260,True,2014,2
355,pwrt,03-09-2015,230410,True,2015,2
356,pwrt,20-01-2014,440,True,2014,2
357,wantmahbody,03-05-2014,440,True,2014,2
359,benedictcuminherbatch,02-08-2014,570,True,2014,2
360,76561198031207016,17-03-2014,8930,True,2014,2
361,76561198043458582,19-07-2015,105600,True,2015,2
362,76561198043458582,26-05-2015,221100,True,2015,2
363,76561198043458582,22-11-2015,107410,True,2015,2
364,76561198043458582,18-10-2014,231430,True,2014,2
365,smashiroshh,30-12-2014,218620,True,2014,2
367,killbunny38,22-01-2015,570,True,2015,2
368,killbunny38,20-08-2015,333930,False,2015,1
369,76561198047630659,14-05-2015,230410,False,2015,2
370,1337lolroflmao,13-04-2015,271590,True,2015,2
371,1337lolroflmao,01-10-2014,218620,True,2014,0
372,1337lolroflmao,28-12-2013,219740,True,2013,0
373,1337lolroflmao,28-12-2013,7940,True,2013,2
374,1337lolroflmao,30-11-2014,234190,True,2014,2
375,1337lolroflmao,28-12-2013,10180,True,2013,2
376,1337lolroflmao,28-12-2013,33900,True,2013,2
377,1337lolroflmao,05-01-2015,261030,True,2015,2
378,1337lolroflmao,23-12-2014,243470,True,2014,0
379,sithjjf,01-09-2015,302830,False,2015,0
380,76561198060039459,04-10-2014,570,False,2014,0
383,OzfurAtlas,08-12-2013,212680,True,2013,0
384,76561198065593074,06-11-2015,304930,False,2015,0
386,76561198065593074,23-09-2015,304050,True,2015,2
387,76561198065593074,31-05-2014,203750,True,2014,2
388,76561198044169764,24-06-2015,227940,False,2015,2
389,76561198044169764,22-07-2015,355180,False,2015,0
391,76561198044169764,03-06-2015,4000,True,2015,1
392,euzi,26-07-2014,236390,True,2014,2
401,76561197961778802,23-04-2014,730,True,2014,2
405,thisissohardtomakeoneup,12-04-2014,440,True,2014,1
406,76561198087010391,04-04-2015,4000,True,2015,2
407,66666669999999,05-01-2015,302830,False,2015,1
408,76561198061174192,14-09-2014,220200,True,2014,2
409,76561198061174192,14-09-2014,242760,True,2014,0
410,ReMiXOfficalSteam,12-10-2015,352460,True,2015,2
411,Wilfire77,22-03-2015,322920,True,2015,2
412,76561198084390807,01-12-2015,234792,True,2015,1
413,76561198084390807,10-05-2014,252490,True,2014,2
414,Mastic,01-08-2015,304050,False,2015,0
417,Mastic,30-12-2014,550,True,2014,2
418,Mastic,27-12-2014,206420,True,2014,2
420,76561198028286104,26-12-2013,10180,True,2013,2
422,tarjla,13-07-2014,304930,True,2014,2
424,tarjla,28-01-2015,265750,True,2015,2
425,tarjla,08-05-2014,252490,True,2014,2
426,tarjla,21-11-2013,4000,True,2013,2
427,tarjla,07-12-2013,211820,True,2013,2
428,tarjla,09-02-2013,105600,True,2013,2
430,tarjla,09-01-2014,730,True,2014,2
433,deathnz1,26-12-2014,276340,True,2014,2
435,76561198104393251,13-03-2015,304930,True,2015,2
440,redsncrimson,23-12-2014,274920,True,2014,1
441,redsncrimson,26-12-2013,211820,True,2013,2
443,redsncrimson,18-05-2013,49520,True,2013,2
444,redsncrimson,09-01-2013,223510,True,2013,2
445,redsncrimson,30-11-2012,440,True,2012,2
447,H1DD3NT3RR0R,10-03-2014,240,True,2014,2
448,H1DD3NT3RR0R,27-02-2014,105600,True,2014,2
449,H1DD3NT3RR0R,25-11-2013,204300,True,2013,2
450,H1DD3NT3RR0R,11-06-2014,730,True,2014,0
451,H1DD3NT3RR0R,04-09-2015,440,False,2015,0
452,H1DD3NT3RR0R,18-06-2014,570,True,2014,0
453,76561198071214618,11-05-2015,268750,True,2015,2
454,76561198115115631,22-05-2015,570,True,2015,2
455,76561198071175142,10-08-2015,570,True,2015,1
456,76561198071175142,07-07-2015,271590,True,2015,2
457,t8s,13-05-2015,360870,True,2015,2
458,t8s,02-05-2015,730,True,2015,2
460,pikawuu2,15-09-2013,12900,True,2013,2
461,Sammeh00,04-11-2014,301520,True,2014,2
462,Michaelele,07-08-2014,6060,True,2014,2
463,Michaelele,30-06-2014,730,True,2014,2
464,Michaelele,21-08-2014,107410,True,2014,2
465,Michaelele,16-07-2014,304930,True,2014,2
466,76561198045754869,07-08-2015,335670,True,2015,1
467,76561198076098774,02-08-2015,215080,True,2015,2
468,76561198103253374,24-02-2014,570,True,2014,0
469,76561198048417105,28-12-2015,271590,True,2015,2
470,76561198048417105,27-02-2015,730,True,2015,2
473,76561198090842891,16-01-2015,8190,True,2015,2
474,76561198055767971,10-06-2015,247730,False,2015,0
475,76561197998052647,27-11-2014,233630,True,2014,2
477,76561198145436942,02-08-2014,221100,True,2014,2
478,jjas01,03-11-2014,208812,False,2014,2
479,jjas01,17-10-2015,218620,False,2015,2
480,jjas01,08-10-2013,243120,True,2013,2
481,jjas01,28-12-2015,234140,True,2015,1
482,jjas01,08-05-2014,204450,True,2014,2
483,jjas01,18-02-2014,225260,True,2014,2
484,jjas01,27-10-2013,50300,True,2013,2
485,jjas01,04-06-2014,201810,True,2014,2
488,3xotic26,26-02-2014,500,True,2014,2
489,3xotic26,26-02-2014,440,True,2014,2
490,3xotic26,26-02-2014,49520,True,2014,2
491,3xotic26,15-07-2013,550,True,2013,2
492,iamthetrashlord,16-06-2015,206420,True,2015,2
493,iamthetrashlord,20-07-2014,213670,True,2014,2
494,3dster,24-08-2015,550,True,2015,2
495,76561198079990063,14-03-2014,231040,True,2014,2
496,Forty-Nine,28-08-2014,221100,True,2014,0
498,76561198051017916,30-05-2015,351040,True,2015,1
499,76561198051017916,26-05-2014,250600,True,2014,1
502,L4M1NAS,05-03-2015,221100,True,2015,2
504,76561197995322437,23-07-2015,264710,True,2015,2
505,imsojipper,07-07-2014,218620,True,2014,2
506,76561198084542731,16-01-2015,206420,True,2015,1
507,76561198084542731,16-02-2014,47790,True,2014,2
508,76561198103671881,11-04-2015,570,True,2015,2
510,mrpfresh,16-10-2015,346110,True,2015,0
512,GamerFag,15-07-2012,440,True,2012,2
513,GamerFag,27-01-2011,70,True,2011,0
514,GamerFag,27-01-2011,420,True,2011,1
515,GamerFag,27-01-2011,380,True,2011,2
516,GamerFag,27-01-2011,220,True,2011,1
517,GamerFag,16-12-2010,1250,True,2010,2
518,EHS-R3AP3R,09-09-2015,339230,False,2015,0
519,EHS-R3AP3R,15-10-2015,349700,True,2015,2
520,EHS-R3AP3R,26-11-2013,226700,True,2013,2
521,EHS-R3AP3R,12-12-2013,209160,True,2013,2
522,chidori_647,15-12-2013,219990,True,2013,2
523,chidori_647,05-03-2014,213670,True,2014,2
524,chidori_647,30-11-2013,21100,False,2013,0
525,chidori_647,02-12-2013,8190,True,2013,2
526,chidori_647,28-11-2013,215470,False,2013,0
527,76561198092227136,11-09-2014,730,True,2014,2
528,76561198092227136,26-05-2014,1250,True,2014,1
529,hellcat59,18-07-2014,4000,True,2014,2
530,76561198007584361,10-09-2015,401650,True,2015,0
531,tbimperator,22-05-2012,35450,True,2012,2
532,Allahu_Akbar666,17-01-2015,230410,True,2015,2
533,Allahu_Akbar666,24-10-2014,304930,False,2014,0
534,ulramite,27-10-2014,290020,True,2014,2
535,ulramite,08-02-2014,248860,True,2014,0
537,-GM-Dragon,08-03-2014,226700,False,2014,0
538,-GM-Dragon,10-06-2015,244850,True,2015,2
539,76561198054040292,13-03-2015,298260,True,2015,2
540,76561198078799606,01-10-2015,370240,False,2015,0
541,76561198078799606,29-06-2015,730,True,2015,2
542,76561198078799606,02-05-2014,233450,True,2014,1
547,I_DID_911_JUST_SAYING,06-05-2013,221260,True,2013,2
550,diabeticfuck,31-08-2015,218620,True,2015,2
551,diabeticfuck,28-12-2015,419070,True,2015,1
552,diabeticfuck,23-11-2015,333930,False,2015,0
553,diabeticfuck,04-09-2015,287700,True,2015,1
554,76561198054465623,10-01-2015,302830,False,2015,1
555,76561198054465623,04-01-2014,24240,True,2014,2
556,76561198054465623,24-04-2015,39800,True,2015,1
557,76561198054465623,21-02-2014,250600,True,2014,0
558,76561198054465623,13-07-2015,105600,True,2015,0
559,76561198054465623,03-04-2014,113020,True,2014,2
560,aaropro,29-08-2014,440,True,2014,2
562,abiam,16-11-2014,238960,True,2014,1
563,FrankoWalker,04-01-2015,310370,True,2015,2
564,FrankoWalker,06-12-2014,260410,True,2014,1
565,FrankoWalker,16-05-2014,236390,True,2014,0
566,LightfootSword7,26-11-2015,221100,False,2015,2
568,SALTTHEW0UND,12-06-2015,248820,True,2015,1
569,SALTTHEW0UND,28-08-2014,730,True,2014,2
570,SALTTHEW0UND,20-05-2014,550,True,2014,2
571,SALTTHEW0UND,25-03-2014,204030,True,2014,2
572,SALTTHEW0UND,02-12-2013,440,True,2013,2
573,SALTTHEW0UND,15-11-2015,383080,True,2015,2
574,express157,02-09-2014,304930,True,2014,2
575,76561198074644990,05-02-2015,242760,True,2015,1
576,76561198074644990,06-02-2015,207230,True,2015,2
577,76561198074644990,24-12-2013,9180,False,2013,0
578,76561198064304806,11-12-2015,730,True,2015,0
579,TomoeMamiewe,16-02-2014,10150,True,2014,1
581,76561198057086148,17-01-2015,214950,True,2015,2
582,Acidius99,21-06-2014,218620,True,2014,2
585,Acidius99,30-12-2014,220240,True,2014,2
586,Acidius99,09-07-2015,271290,False,2015,0
587,acorn13,31-07-2014,313740,True,2014,2
588,acorn13,12-07-2012,34330,True,2012,0
589,acorn13,01-05-2015,271590,True,2015,2
591,AddzyTheBaddzy,02-02-2015,291550,True,2015,2
592,AddzyTheBaddzy,16-12-2013,259080,True,2013,2
593,mrfunkyjunkie,05-01-2014,233250,True,2014,2
594,mrfunkyjunkie,23-11-2014,256350,True,2014,2
595,mrfunkyjunkie,11-03-2015,249380,True,2015,2
598,76561198167207237,25-12-2015,391540,True,2015,1
599,76561198167207237,29-11-2015,265930,True,2015,1
600,76561198167207237,06-11-2015,620,True,2015,2
601,cancerkek,27-02-2015,730,True,2015,1
602,76561198073508075,13-04-2014,10090,True,2014,2
604,76561198073508075,07-06-2014,218680,True,2014,2
608,advenger95,05-06-2015,22370,True,2015,2
609,advenger95,02-09-2015,307690,True,2015,2
610,advenger95,05-06-2015,72850,True,2015,0
611,EndAtHallow,15-01-2015,1250,True,2015,0
612,76561198063624801,12-01-2014,440,True,2014,1
613,aeryal,03-05-2014,440,True,2014,2
614,76561198070263209,13-12-2013,570,True,2013,1
615,76561198015968275,06-09-2015,248610,True,2015,0
616,Agiegamma,12-02-2014,208090,True,2014,2
617,76561198082614708,28-04-2014,250340,True,2014,2
618,Agronoth,09-02-2014,244850,True,2014,2
619,Agronoth,24-04-2015,221640,True,2015,2
620,Agronoth,21-03-2015,104900,True,2015,2
621,Agronoth,28-02-2015,105600,True,2015,2
622,Agronoth,15-07-2015,9450,False,2015,2
623,UnholyFallenAngel,07-10-2014,262410,True,2014,2
624,UnholyFallenAngel,22-12-2015,222940,True,2015,2
625,UnholyFallenAngel,06-05-2014,221040,True,2014,2
626,76561198068565589,22-02-2014,221100,True,2014,1
627,76561198068565589,18-07-2015,286570,True,2015,2
628,76561198068565589,24-10-2014,263440,False,2014,1
629,SlutOnTheSpit,02-01-2014,4000,True,2014,2
630,WestyGaming,07-06-2014,223710,True,2014,1
631,NaruseAiria,28-10-2014,317360,True,2014,1
632,NaruseAiria,15-10-2014,108600,True,2014,2
633,NaruseAiria,20-12-2013,259080,True,2013,2
634,NaruseAiria,06-12-2013,208520,True,2013,2
635,76561198067713802,27-09-2015,239660,True,2015,2
636,76561198067713802,28-03-2015,304930,True,2015,2
640,Alex680,25-04-2014,4000,True,2014,2
641,alansiulun,01-11-2014,295270,True,2014,2
642,alansiulun,21-05-2015,265930,True,2015,2
643,Albolah,29-12-2015,283920,True,2015,0
644,Albolah,18-10-2015,440,True,2015,2
645,Albolah,30-12-2015,294650,True,2015,2
647,76561198003056556,15-08-2014,233720,True,2014,2
649,maxpaynepillkiller,30-12-2015,12120,True,2015,1
652,maxpaynepillkiller,07-10-2015,55230,True,2015,2
654,AlexNoClutch,05-06-2015,227860,False,2015,2
655,Alexwai04,09-01-2015,218620,True,2015,2
656,76561198095481910,01-02-2014,208090,True,2014,0
658,AlkalineDeath,02-03-2015,228280,True,2015,2
659,AlkalineDeath,16-10-2014,240760,True,2014,2
660,76561198075935236,26-01-2015,226700,True,2015,1
661,76561198075935236,27-08-2015,250900,True,2015,2
662,mintifreshbadger,09-11-2015,35450,True,2015,0
664,AlpacaRevolution,02-10-2014,212680,True,2014,2
665,AlpacaRevolution,13-09-2015,346110,False,2015,1
670,76561198071952798,29-11-2013,205100,True,2013,2
671,76561198009001563,03-09-2014,570,True,2014,1
672,76561198016753953,21-03-2014,271290,True,2014,2
673,76561198016753953,27-01-2014,570,True,2014,1
674,smegmyfoodle,03-02-2015,346010,True,2015,2
675,smegmyfoodle,22-01-2015,239250,True,2015,0
676,76561198057869849,01-06-2015,313120,True,2015,2
677,76561198058836921,17-01-2015,211820,True,2015,2
678,lol_ursuchanoob,08-08-2014,218620,True,2014,0
679,lol_ursuchanoob,17-04-2014,12210,True,2014,2
680,lol_ursuchanoob,12-03-2014,220240,True,2014,0
681,lol_ursuchanoob,23-01-2014,17300,True,2014,2
